Isabelle,Stewart,isaste01,EnglishMarket01#,Super User (All Payments),,isaste01@bank.ie,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Aoibheann,Ó Cléirigh,aoiocl02,SaintFinBarRes2#,Super User,,aoiocl02@bank.ie,Yes,Yes,No,Yes,No,No,No,Yes,Yes
Lorcan,Flanagan,lorfla03,BrockCastle03$,Administrator,,lorfla03@bank.ie,Yes,Yes,No,No,No,No,No,No,No
Charlie,Ó Conaill,chaoco04,ShandonBeLls04$,Auditor,,chaoco04@bank.ie,No,Yes,No,Yes,No,No,No,No,No
Georgia,Mag Uidhir,geomag05,CorkGhostTour05?,Account Operator,,geomag05@bank.ie,No,No,No,No,No,No,Yes,Yes,Yes
Joshua,Donnelly,josdon06,TriskelArts06?,Account Operator,,josdon06@bank.ie,No,No,No,No,No,No,Yes,Yes,Yes
Mason,Flynn,masfly07,ModelRailway%07,Account Operator,,masfly07@bank.ie,No,No,No,No,No,No,Yes,Yes,Yes
Nathan,O'Connor,natoco08,CrosShaven%08,Account Operator,,natoco08@bank.ie,No,No,No,No,No,No,Yes,Yes,Yes
Laura,Connolly,laucon09,GarnishIsland-09,Account Operator,,laucon09@bank.ie,No,No,No,No,No,No,Yes,Yes,Yes
Jessica,Ó Braonáin,jesobr10,LoughHyne-10,Account Operator,,jesobr10@bank.ie,No,No,No,No,No,No,Yes,Yes,Yes
Emily,Ó Néill,emione11,TheLough1+1,Balance Operator,,emione11@bank.ie,No,No,No,No,No,No,No,No,Yes
Maisie,Sweeney,maiswe12,BaLlymaloe+12,Balance Operator,,maiswe12@bank.ie,No,No,No,No,No,No,No,No,Yes
Sadie,Kelly,sadkel13,Inchydoney@13,Balance Operator,,sadkel13@bank.ie,No,No,No,No,No,No,No,No,Yes
Lilly,Murphy,lilmur14,LiscarRolL@14,Balance Operator,,lilmur14@bank.ie,No,No,No,No,No,No,No,No,Yes
Laura,Mac Tomáis,laumac15,Baltimore^15,Balance Operator,,laumac15@bank.ie,No,No,No,No,No,No,No,No,Yes
Luca,Moore,lucmoo16,CobhQueEnstown^6,Customer,198981418,lucmoo16@gmail.com,No,No,No,No,No,No,No,No,Yes
Tadhg,Kavanagh,tadkav17,FotaWildlife&17,Customer,592468523,tadhgdaman@yahoo.com,No,No,No,No,No,No,No,No,Yes
Anthony,Mac Giolla Phádraig,antmac18,CapeClear&18,Customer,714104194,sonofpaddy@proton.com,No,No,No,No,No,No,No,No,Yes
James,Kenny,jamken19,CamdenFort:19,Customer,934150154,jamie999@mail.com,No,No,No,No,No,No,No,No,Yes
Harry,Ó Gallchobhair,haroga20,GouganeBaRra:20,Customer,542207167,harryhighking@zoho.com,No,No,No,No,No,No,No,No,Yes
Fred,Admin,fred,fred,Super User (All Payments),,fredadmin@bank.com,Yes,Yes,Yes,Yes,Yes,Yes ,Yes,Yes,Yes
